Job ID,Job Title,Industry,Location,Company,Education Level,Experience Level,Salary (INR),Remote Option,Hired,Job Type,Skills Required,Posted Date,Application Deadline,Interview Rounds,Job Description Snippet,Company Rating,Expected Joining Time (days),Internship Stipend
JOB2025074,Backend Developer,Energy,Remote,Capgemini,Diploma,6-10 years,1503578,Yes,Yes,Contract,"React, SQL",2025-02-27,2025-03-28,4,Backend Developer role at Capgemini requiring skills in React and more.,4.6,30,0
JOB2025075,Data Scientist,Telecom,Mumbai,Amazon,Diploma,10+ years,2839804,Yes,No,Internship,"JavaScript, React, SQL, Python",2025-03-18,2025-04-17,1,Data Scientist role at Amazon requiring skills in JavaScript and more.,3.8,19,16448
JOB2025076,Backend Developer,Healthcare,Hyderabad,TCS,Master's,3-5 years,903427,Yes,Yes,Full-time,"AWS, Data Analysis, Machine Learning",2025-03-07,2025-04-04,5,Backend Developer role at TCS requiring skills in AWS and more.,3.3,47,0
JOB2025077,Backend Developer,Healthcare,Gurgaon,TCS,Diploma,6-10 years,1862055,No,No,Full-time,"Machine Learning, Java, Django, JavaScript",2025-03-22,2025-04-02,1,Backend Developer role at TCS requiring skills in Machine Learning and more.,3.4,25,0
JOB2025078,Data Scientist,Finance,Ahmedabad,Capgemini,High School,6-10 years,1685188,Yes,No,Part-time,"Data Analysis, AWS, SQL, Python",2025-03-22,2025-04-04,3,Data Scientist role at Capgemini requiring skills in Data Analysis and more.,5.0,12,0
JOB2025079,Machine Learning Engineer,Healthcare,Bangalore,Amazon,Diploma,6-10 years,1749525,Yes,No,Internship,"Node.js, Data Analysis, React, AWS",2025-03-12,2025-03-23,3,Machine Learning Engineer role at Amazon requiring skills in Node.js and more.,2.7,13,23283
JOB2025080,Frontend Developer,Education,Chennai,Capgemini,Master's,3-5 years,842730,Yes,No,Internship,"SQL, Java, Django, AWS, JavaScript",2025-03-09,2025-03-29,2,Frontend Developer role at Capgemini requiring skills in SQL and more.,4.2,60,22248
JOB2025081,Data Scientist,Telecom,Noida,Microsoft,Bachelor's,3-5 years,961934,Yes,Yes,Internship,"JavaScript, Data Analysis, SQL, Java, Python",2025-04-01,2025-04-14,5,Data Scientist role at Microsoft requiring skills in JavaScript and more.,4.4,60,22253
JOB2025082,Software Engineer,Manufacturing,Ahmedabad,Wipro,High School,6-10 years,1361745,Yes,Yes,Part-time,"Python, Node.js, React, AWS, Machine Learning",2025-04-04,2025-04-28,5,Software Engineer role at Wipro requiring skills in Python and more.,3.2,54,0
JOB2025083,Business Analyst,Retail,Noida,Amazon,PhD,6-10 years,1403440,No,No,Contract,"Node.js, Machine Learning, Data Analysis, Java",2025-02-26,2025-03-14,5,Business Analyst role at Amazon requiring skills in Node.js and more.,2.8,23,0
JOB2025084,Software Engineer,Logistics,Pune,Accenture,Bachelor's,10+ years,2261468,No,Yes,Part-time,"AWS, Machine Learning, SQL, Node.js",2025-03-23,2025-04-04,2,Software Engineer role at Accenture requiring skills in AWS and more.,4.5,29,0
JOB2025085,Software Engineer,Telecom,Bangalore,Flipkart,High School,3-5 years,923615,No,Yes,Internship,"Python, React, Java",2025-02-25,2025-03-27,3,Software Engineer role at Flipkart requiring skills in Python and more.,4.5,15,6255
JOB2025086,DevOps Engineer,Logistics,Delhi,Paytm,Diploma,10+ years,2011012,Yes,Yes,Internship,"SQL, Machine Learning, Node.js",2025-04-12,2025-05-01,2,DevOps Engineer role at Paytm requiring skills in SQL and more.,3.3,10,12813
JOB2025087,Frontend Developer,Energy,Gurgaon,TCS,Bachelor's,6-10 years,1825726,Yes,Yes,Part-time,"Node.js, Python, React, Java",2025-03-14,2025-04-06,2,Frontend Developer role at TCS requiring skills in Node.js and more.,4.2,12,0
JOB2025088,Machine Learning Engineer,Manufacturing,Mumbai,Accenture,High School,10+ years,3064561,Yes,No,Contract,"Node.js, React",2025-04-03,2025-04-13,3,Machine Learning Engineer role at Accenture requiring skills in Node.js and more.,4.5,29,0
JOB2025089,UI/UX Designer,Finance,Ahmedabad,Microsoft,Master's,Fresher,484706,No,Yes,Contract,"SQL, Data Analysis, Java, React, JavaScript",2025-04-17,2025-05-06,2,UI/UX Designer role at Microsoft requiring skills in SQL and more.,2.6,19,0
JOB2025090,Software Engineer,Manufacturing,Chennai,Accenture,Diploma,10+ years,2992791,No,Yes,Part-time,"React, Python, Data Analysis, SQL",2025-04-12,2025-05-03,4,Software Engineer role at Accenture requiring skills in React and more.,4.7,54,0
JOB2025091,Business Analyst,Telecom,Pune,Wipro,Diploma,6-10 years,1585191,No,Yes,Contract,"Node.js, SQL",2025-03-16,2025-04-04,3,Business Analyst role at Wipro requiring skills in Node.js and more.,2.8,27,0
JOB2025092,DevOps Engineer,Education,Gurgaon,Capgemini,Diploma,1-2 years,732735,No,No,Full-time,"Data Analysis, Node.js, Django, React",2025-02-28,2025-03-11,1,DevOps Engineer role at Capgemini requiring skills in Data Analysis and more.,4.2,32,0
JOB2025093,Backend Developer,Media,Delhi,Infosys,Master's,10+ years,3422055,No,Yes,Part-time,"JavaScript, React",2025-03-27,2025-04-18,5,Backend Developer role at Infosys requiring skills in JavaScript and more.,2.6,16,0
JOB2025094,Business Analyst,Manufacturing,Pune,Paytm,Bachelor's,10+ years,2288767,No,No,Internship,"JavaScript, Java, Python, React",2025-04-08,2025-05-03,5,Business Analyst role at Paytm requiring skills in JavaScript and more.,3.5,42,8858
JOB2025095,DevOps Engineer,Education,Gurgaon,Amazon,High School,3-5 years,1163845,No,Yes,Full-time,"Java, AWS, SQL",2025-02-21,2025-03-17,1,DevOps Engineer role at Amazon requiring skills in Java and more.,4.5,27,0
JOB2025096,Backend Developer,Finance,Noida,Accenture,PhD,3-5 years,882578,Yes,No,Part-time,"JavaScript, SQL",2025-04-04,2025-04-29,1,Backend Developer role at Accenture requiring skills in JavaScript and more.,3.4,43,0
JOB2025097,Backend Developer,Logistics,Noida,Wipro,High School,Fresher,334470,No,No,Contract,"Node.js, Java, SQL, AWS, React",2025-04-15,2025-05-09,4,Backend Developer role at Wipro requiring skills in Node.js and more.,4.2,29,0
JOB2025098,Product Manager,Media,Ahmedabad,Wipro,Master's,6-10 years,1727290,Yes,Yes,Part-time,"SQL, Data Analysis, React, AWS",2025-04-05,2025-04-26,5,Product Manager role at Wipro requiring skills in SQL and more.,4.7,12,0
JOB2025099,DevOps Engineer,Retail,Noida,Google,Master's,3-5 years,1122137,Yes,Yes,Part-time,"Data Analysis, React, Python",2025-02-26,2025-03-08,1,DevOps Engineer role at Google requiring skills in Data Analysis and more.,2.6,48,0
JOB2025100,Cybersecurity Analyst,Education,Hyderabad,Capgemini,Diploma,10+ years,3340061,Yes,No,Internship,"AWS, JavaScript, Node.js, SQL",2025-03-21,2025-04-02,1,Cybersecurity Analyst role at Capgemini requiring skills in AWS and more.,2.9,33,20867
JOB2025101,Business Analyst,Retail,Pune,Capgemini,Master's,3-5 years,1176629,No,No,Contract,"React, Machine Learning, Java",2025-03-30,2025-04-16,4,Business Analyst role at Capgemini requiring skills in React and more.,2.8,35,0
JOB2025102,UI/UX Designer,Healthcare,Mumbai,Infosys,PhD,6-10 years,1845270,No,Yes,Part-time,"Data Analysis, React, JavaScript, Node.js",2025-04-09,2025-05-04,5,UI/UX Designer role at Infosys requiring skills in Data Analysis and more.,3.7,26,0
JOB2025103,Business Analyst,Technology,Mumbai,Flipkart,High School,6-10 years,1452422,Yes,No,Full-time,"Django, AWS",2025-03-12,2025-04-11,4,Business Analyst role at Flipkart requiring skills in Django and more.,3.2,7,0
JOB2025104,Data Scientist,Telecom,Delhi,Google,PhD,6-10 years,1583713,Yes,No,Full-time,"React, Machine Learning, Django",2025-04-15,2025-05-07,5,Data Scientist role at Google requiring skills in React and more.,3.6,42,0
JOB2025105,DevOps Engineer,Energy,Ahmedabad,TCS,Master's,Fresher,506518,No,No,Internship,"JavaScript, Machine Learning, Node.js",2025-03-18,2025-03-29,1,DevOps Engineer role at TCS requiring skills in JavaScript and more.,2.6,52,15913
JOB2025106,Business Analyst,Media,Gurgaon,Wipro,High School,10+ years,2293141,No,No,Part-time,"Data Analysis, Django, React, Machine Learning, Node.js",2025-03-16,2025-04-10,5,Business Analyst role at Wipro requiring skills in Data Analysis and more.,3.2,59,0
JOB2025107,Software Engineer,Manufacturing,Pune,TCS,Diploma,10+ years,2645247,Yes,No,Internship,"Python, AWS, SQL",2025-03-17,2025-04-16,5,Software Engineer role at TCS requiring skills in Python and more.,4.4,31,9842
JOB2025108,UI/UX Designer,Technology,Ahmedabad,TCS,Master's,Fresher,531231,No,No,Part-time,"JavaScript, Node.js, AWS, Machine Learning, React",2025-03-04,2025-03-15,2,UI/UX Designer role at TCS requiring skills in JavaScript and more.,3.8,42,0
JOB2025109,Backend Developer,Logistics,Noida,Flipkart,PhD,1-2 years,740996,No,No,Internship,"JavaScript, Data Analysis, Django, AWS, SQL",2025-04-05,2025-04-24,3,Backend Developer role at Flipkart requiring skills in JavaScript and more.,4.3,51,21023
JOB2025110,Backend Developer,Logistics,Pune,Accenture,PhD,3-5 years,863897,No,No,Internship,"Django, Python, Data Analysis",2025-03-05,2025-03-17,3,Backend Developer role at Accenture requiring skills in Django and more.,4.8,48,13403
JOB2025111,Business Analyst,Retail,Hyderabad,Accenture,PhD,10+ years,3459977,No,Yes,Full-time,"JavaScript, Python, Data Analysis",2025-03-10,2025-03-27,1,Business Analyst role at Accenture requiring skills in JavaScript and more.,2.8,28,0
JOB2025112,Business Analyst,Finance,Delhi,Infosys,High School,1-2 years,713336,No,No,Part-time,"React, Django, Python, Node.js",2025-04-14,2025-05-14,5,Business Analyst role at Infosys requiring skills in React and more.,3.1,54,0
JOB2025113,Software Engineer,Healthcare,Remote,Wipro,Bachelor's,6-10 years,1719447,Yes,Yes,Internship,"Python, Django",2025-03-14,2025-04-12,1,Software Engineer role at Wipro requiring skills in Python and more.,4.8,28,14324
